Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Trinidad and Tobago,2020-04-08 00:56:36,10.6918,-61.2225,107,8,1,98,7.645636877979208,-999,-999,7.4766355140186915,780,TTO
Tunisia,2020-04-08 00:56:36,33.886917,9.537499,623,23,25,575,5.271343908399443,-999,-999,3.691813804173355,788,TUN
Turkey,2020-04-08 00:56:36,38.9637,35.2433,34109,725,1582,31802,40.44270492107768,-999,-999,2.1255387141223725,792,TUR
Uganda,2020-04-08 00:56:36,1.373333,32.290275,52,0,0,52,0.11368356616602174,-999,-999,0.0,800,UGA
Ukraine,2020-04-08 00:56:36,48.3794,31.1656,1462,45,28,1389,3.3429552671198466,-999,-999,3.0779753761969904,804,UKR
United Arab Emirates,2020-04-08 00:56:36,23.424076,53.847818,2359,12,186,2161,23.851411469708,-999,-999,0.5086901229334464,784,ARE
Uruguay,2020-04-08 00:56:36,-32.5228,-55.7658,424,7,150,267,12.205910251438873,-999,-999,1.650943396226415,858,URY
Uzbekistan,2020-04-08 00:56:36,41.377491,64.585262,520,2,30,488,1.5536672987005156,-999,-999,0.38461538461538464,860,UZB
Venezuela,2020-04-08 00:56:36,6.4238,-66.5897,166,7,65,94,0.583768226008893,-999,-999,4.216867469879518,862,VEN
Vietnam,2020-04-08 00:56:36,14.058324,108.277199,251,0,123,128,0.2578628045160674,-999,-999,0.0,704,VNM
West Bank and Gaza,2020-04-08 00:56:36,31.9522,35.2332,261,1,42,218,5.116226553568656,-999,-999,0.3831417624521073,275,PSE
Western Sahara,2020-04-08 00:56:36,24.2155,-12.8858,4,0,0,4,0.6696465940100113,-999,-999,0.0,732,ESH
Zambia,2020-04-08 00:56:36,-13.133897,27.849332,39,1,7,31,0.2121414999035028,-999,-999,2.5641025641025643,894,ZMB
Zimbabwe,2020-04-08 00:56:36,-19.015438,29.154857,11,2,0,9,0.07400964830144156,-999,-999,18.181818181818183,716,ZWE
