Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,Testing_Rate,People_Hospitalized,Hospitalized_Rate,Mortality_Rate,UID,ISO3
Saskatchewan,Canada,,52.9399,-106.4509,271,3,0,268,,22.933722388559882,,,,,1.1070110701107012,12411,CAN
Shaanxi,China,,35.1917,108.8701,256,3,246,7,,0.6625258799171843,,,,,1.171875,15622,CHN
Shandong,China,,36.3427,118.1498,783,7,756,20,,0.7793371155568827,,,,,0.8939974457215837,15623,CHN
Shanghai,China,,31.202,121.4491,543,7,418,118,,2.24009900990099,,,,,1.289134438305709,15624,CHN
Shanxi,China,,37.5777,112.2922,166,0,134,32,,0.44647660032275416,,,,,0.0,15625,CHN
Sichuan,China,,30.6171,102.7103,560,3,541,16,,0.6713823282580026,,,,,0.5357142857142857,15626,CHN
Sint Maarten,Netherlands,,18.0425,-63.0548,40,6,1,33,,93.27923137913344,,,,,15.0,534,SXM
South Australia,Australia,,-34.9285,138.6007,415,2,53,360,,23.626530031312267,,,,,0.4819277108433735,3605,AUS
St Martin,France,,18.0708,-63.0501,32,2,7,23,,82.77503298067721,,,,,6.25,663,MAF
Tasmania,Australia,,-42.8821,147.3272,98,3,26,69,,18.30065359477124,,,,,3.061224489795918,3606,AUS
Tianjin,China,,39.3054,117.323,180,3,152,25,,1.1538461538461537,,,,,1.6666666666666667,15627,CHN
Tibet,China,,31.6927,88.0924,1,0,1,0,,0.029069767441860465,,,,,0.0,15628,CHN
Turks and Caicos Islands,United Kingdom,,21.69400000000001,-71.7979,8,1,0,7,,20.66222428844465,,,,,12.5,796,TCA
Victoria,Australia,,-37.8136,144.9631,1212,12,620,580,,18.28081871521441,,,,,0.9900990099009901,3607,AUS
Virgin Islands,US,,18.3358,-64.8963,45,1,39,44,,41.9510012305627,287,2.67822E+2994,,,2.2222222222222223,850,VIR
Western Australia,Australia,,-31.9505,115.8605,481,6,162,313,,18.284801946324034,,,,,1.2474012474012475,3608,AUS
Xinjiang,China,,41.1129,85.2401,76,3,73,0,,0.305589063128267,,,,,3.9473684210526314,15629,CHN
Yukon,Canada,,64.2823,-135.0,7,0,0,7,,17.04075174059107,,,,,0.0,12412,CAN
Yunnan,China,,24.974,101.487,184,2,173,9,,0.38095238095238093,,,,,1.0869565217391304,15630,CHN
Zhejiang,China,,29.1832,120.0934,1266,1,1232,33,,2.206728255185637,,,,,0.07898894154818326,15631,CHN
Diamond Princess,Canada,,,,0,1,0,-1,,,,,,,,12413,CAN
Diamond Princess,US,,,,49,0,0,49,,,,,,,0.0,84088888,USA
Grand Princess,Canada,,,,13,0,0,13,,,,,,,0.0,12414,CAN
Grand Princess,US,,,,103,3,0,100,,,,,,,2.912621359223301,84099999,USA
