Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Reunion,France,,-21.1151,55.5364,349,0,40.0,309.0,,38.9809987177597,,,0.0,638.0,REU
Saint Barthelemy,France,,17.9,-62.8333,6,0,1.0,5.0,,60.69802731411229,,,0.0,652.0,BLM
Saint Pierre and Miquelon,France,,46.8852,-56.3159,1,0,0.0,1.0,,17.25625539257981,,,0.0,666.0,SPM
Saskatchewan,Canada,,52.9399,-106.4509,253,3,0.0,250.0,,21.410449314780994,,,1.1857707509881423,12411.0,CAN
Shaanxi,China,,35.1917,108.8701,256,3,246.0,7.0,,0.6625258799171843,,,1.171875,15622.0,CHN
Shandong,China,,36.3427,118.1498,781,7,755.0,19.0,,0.7773464715835573,,,0.8962868117797695,15623.0,CHN
Shanghai,China,,31.202,121.4491,538,6,406.0,126.0,,2.2194719471947195,,,1.1152416356877324,15624.0,CHN
Shanxi,China,,37.5777,112.2922,138,0,133.0,5.0,,0.3711672942442173,,,0.0,15625.0,CHN
Sichuan,China,,30.6171,102.7103,560,3,541.0,16.0,,0.6713823282580026,,,0.5357142857142857,15626.0,CHN
Sint Maarten,Netherlands,,18.0425,-63.0548,37,6,1.0,30.0,,86.28328902569842,,,16.216216216216218,534.0,SXM
South Australia,Australia,,-34.9285,138.6007,411,1,53.0,357.0,,23.39880444064902,,,0.24330900243309003,3605.0,AUS
St Martin,France,,18.0708,-63.0501,32,2,7.0,23.0,,82.77503298067721,,,6.25,663.0,MAF
Tasmania,Australia,,-42.8821,147.3272,89,2,26.0,61.0,,16.61998132586368,,,2.247191011235955,3606.0,AUS
Tianjin,China,,39.3054,117.323,180,3,151.0,26.0,,1.1538461538461537,,,1.6666666666666667,15627.0,CHN
Tibet,China,,31.6927,88.0924,1,0,1.0,0.0,,0.029069767441860465,,,0.0,15628.0,CHN
Turks and Caicos Islands,United Kingdom,,21.69400000000001,-71.7979,8,1,0.0,7.0,,20.66222428844465,,,12.5,796.0,TCA
Victoria,Australia,,-37.8136,144.9631,1191,11,620.0,560.0,,17.964071856287426,,,0.9235936188077246,3607.0,AUS
Virgin Islands,US,,18.3358,-64.8963,43,1,36.0,42.0,,40.086512286982135,265,,2.3255813953488373,850.0,VIR
Western Australia,Australia,,-31.9505,115.8605,460,4,162.0,294.0,,17.486504979852505,,,0.8695652173913043,3608.0,AUS
Xinjiang,China,,41.1129,85.2401,76,3,73.0,0.0,,0.305589063128267,,,3.9473684210526314,15629.0,CHN
Yukon,Canada,,64.2823,-135.0,7,0,0.0,7.0,,17.04075174059107,,,0.0,12412.0,CAN
Yunnan,China,,24.974,101.487,184,2,173.0,9.0,,0.38095238095238093,,,1.0869565217391304,15630.0,CHN
Zhejiang,China,,29.1832,120.0934,1265,1,1230.0,34.0,,2.204985183894021,,,0.07905138339920949,15631.0,CHN
Diamond Princess,Canada,,,,0,1,0.0,-1.0,,,,,,12413.0,CAN
Diamond Princess,US,,,,49,0,0.0,49.0,,,,,0.0,84088888.0,USA
Grand Princess,Canada,,,,13,0,0.0,13.0,,,,,0.0,12414.0,CAN
Grand Princess,US,,,,103,3,0.0,100.0,,,,,2.912621359223301,84099999.0,USA
