Country_Region,Case_Type,Date,Cases,Table Names,Difference,Prep_Flow_Runtime,Latest_Date,Province_State,Lat,Long
US,Deaths,3/9/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/3/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/15/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/7/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/25/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,1/28/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/1/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/11/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/18/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/11/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/4/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/19/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/17/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/28/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,1/23/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/5/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
