UID,iso2,iso3,code3,FIPS,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Hospitalized,Tested
,,,,,Tianjin,China,3/31/2020 13:56,39.3054,117.323,174,3,133,38,,
,,,,,Tibet,China,3/31/2020 13:56,31.6927,88.0924,1,0,1,0,,
,,,,,Turks and Caicos Islands,United Kingdom,3/31/2020 13:56,21.694,-71.7979,5,0,0,5,,
,,,,,Victoria,Australia,3/31/2020 13:56,-37.8136,144.9631,917,4,291,622,,
,,,,,Western Australia,Australia,3/31/2020 13:56,-31.9505,115.8605,364,2,41,321,,
,,,,,Xinjiang,China,3/31/2020 13:56,41.1129,85.2401,76,3,73,0,,
,,,,,Yukon,Canada,3/31/2020 13:56,64.2823,-135,5,0,0,0,,
,,,,,Yunnan,China,3/31/2020 13:56,24.974,101.487,181,2,172,7,,
,,,,,Zhejiang,China,3/31/2020 13:56,29.1832,120.0934,1257,1,1226,30,,
,,,,,Diamond Princess,Canada,3/31/2020 13:56,,,0,1,0,0,,
,,,,,Grand Princess,Canada,3/31/2020 13:56,,,13,0,0,0,,
