cnty	ProvinceState	CountryRegion	reportdt	latfill	longfill	confirmed	deaths	recovered
(null)	"Iowa"	"US"	"2020-03-19"	42.011539000000000	-93.210500000000000	44	0	0
(null)	"Liaoning"	"China"	"2020-02-15"	41.295600000000000	122.608500000000000	119	1	31
"Rush"	"Indiana"	"US"	"2020-03-27"	41.644238680000000	0E-15	3	0	0
"Kandiyohi"	"Minnesota"	"US"	"2020-03-24"	48.777541060000000	0E-15	0	0	0
(null)	"Isle of Man"	"United Kingdom"	"2020-04-03"	54.236100000000000	-4.548100000000000	114	1	0
"Wabasha"	"Minnesota"	"US"	"2020-04-01"	48.777541060000000	0E-15	6	0	0
(null)	(null)	"Liechtenstein"	"2020-03-30"	47.140000000000000	9.550000000000000	62	0	0
(null)	"Liaoning"	"China"	"2020-02-02"	41.295600000000000	122.608500000000000	70	0	1
"Maries"	"Missouri"	"US"	"2020-04-02"	40.479455880000000	0E-15	2	0	0
"Arlington"	"Virginia"	"US"	"2020-04-02"	39.201725820000000	0E-15	128	2	0
"Sumter"	"Alabama"	"US"	"2020-03-22"	34.901718750000000	0E-15	0	0	0
"Perry"	"Pennsylvania"	"US"	"2020-03-28"	41.992538290000000	-75.032081060000000	1	0	0
"LaSalle"	"Louisiana"	"US"	"2020-03-25"	32.831210590000000	0E-15	0	0	0
"Nelson"	"Virginia"	"US"	"2020-04-01"	39.201725820000000	0E-15	2	0	0
"Wayne"	"Michigan"	"US"	"2020-03-27"	47.631976530000000	0E-15	1810	37	0
"Carbon"	"Wyoming"	"US"	"2020-03-28"	44.790489130000000	-104.353474300000000	3	0	0
"Dodge"	"Nebraska"	"US"	"2020-04-02"	42.899727400000000	0E-15	4	0	0
"Columbia"	"Pennsylvania"	"US"	"2020-03-23"	41.992538290000000	-75.032081060000000	1	0	0
"Orleans"	"Louisiana"	"US"	"2020-03-22"	32.831210590000000	0E-15	451	15	0
"Tioga"	"Pennsylvania"	"US"	"2020-03-25"	41.992538290000000	-75.032081060000000	0	0	0
"Stokes"	"North Carolina"	"US"	"2020-03-23"	36.493608620000000	0E-15	0	0	0
"Harrison"	"Missouri"	"US"	"2020-04-03"	40.479455880000000	0E-15	2	0	0
"Unassigned"	"Montana"	"US"	"2020-03-27"	48.784200290000000	0E-15	0	1	0
(null)	"United States Virgin Islands"	"US"	"2020-03-21"	18.350000000000000	-64.896300000000000	6	0	0
"Payne"	"Oklahoma"	"US"	"2020-03-25"	36.835326550000000	0E-15	3	0	0
(null)	(null)	"New Zealand"	"2020-03-23"	-40.900600000000000	174.886000000000000	102	0	0
"Nome"	"Alaska"	"US"	"2020-03-30"	69.314792160000000	0E-15	0	0	0
"Montgomery"	"Iowa"	"US"	"2020-03-23"	43.381078620000000	0E-15	0	0	0
(null)	(null)	"Sri Lanka"	"2020-03-15"	7.873100000000000	81.000000000000000	18	0	1
"Sussex"	"Virginia"	"US"	"2020-03-27"	39.201725820000000	0E-15	0	0	0
"Grady"	"Georgia"	"US"	"2020-04-01"	34.913691880000000	0E-15	1	0	0
(null)	(null)	"Ethiopia"	"2020-04-02"	9.145000000000000	40.489700000000000	29	0	3
(null)	(null)	"Belgium"	"2020-03-10"	50.833300000000000	4.469900000000000	267	0	1
"Madison"	"Georgia"	"US"	"2020-03-24"	34.913691880000000	0E-15	1	0	0
"Columbia"	"Oregon"	"US"	"2020-04-02"	45.997128890000000	-117.183537999999980	1	0	0
"Pamlico"	"North Carolina"	"US"	"2020-04-01"	36.493608620000000	0E-15	1	0	0
"Stearns"	"Minnesota"	"US"	"2020-03-30"	48.777541060000000	0E-15	5	0	0
"Claiborne"	"Louisiana"	"US"	"2020-04-01"	32.831210590000000	0E-15	10	0	0
"Barton"	"Kansas"	"US"	"2020-04-03"	39.827996320000000	-94.763782250000000	3	0	0
"Washington"	"Missouri"	"US"	"2020-03-25"	40.479455880000000	0E-15	0	0	0
"Montgomery"	"Indiana"	"US"	"2020-03-22"	41.644238680000000	0E-15	0	0	0
"Montgomery"	"Kansas"	"US"	"2020-03-26"	39.827996320000000	-94.763782250000000	0	0	0
(null)	(null)	"Kyrgyzstan"	"2020-03-25"	41.204380000000000	74.766098000000000	44	0	0
"El Paso"	"Texas"	"US"	"2020-04-03"	36.278291050000000	-93.744088130000000	85	0	0
"Benton"	"Mississippi"	"US"	"2020-03-26"	34.880844630000000	0E-15	1	0	0
"Culpeper"	"Virginia"	"US"	"2020-03-23"	39.201725820000000	0E-15	2	0	0
"Cabarrus"	"North Carolina"	"US"	"2020-03-28"	36.493608620000000	0E-15	31	2	0
"Red River"	"Louisiana"	"US"	"2020-03-29"	32.831210590000000	0E-15	1	0	0
"Merrick"	"Nebraska"	"US"	"2020-03-22"	42.899727400000000	0E-15	0	0	0
"Troup"	"Georgia"	"US"	"2020-03-24"	34.913691880000000	0E-15	6	0	0
"Wapello"	"Iowa"	"US"	"2020-03-28"	43.381078620000000	0E-15	1	0	0
"Warren"	"Virginia"	"US"	"2020-04-02"	39.201725820000000	0E-15	3	0	0
"Fayette"	"West Virginia"	"US"	"2020-03-30"	40.519438590000000	-77.860141470000000	0	0	0
"Kiowa"	"Oklahoma"	"US"	"2020-03-28"	36.835326550000000	0E-15	0	0	0
"Cass"	"Minnesota"	"US"	"2020-04-01"	48.777541060000000	0E-15	1	0	0
"Sioux"	"Iowa"	"US"	"2020-04-01"	43.381078620000000	0E-15	4	0	0
"Craig"	"Virginia"	"US"	"2020-03-23"	39.201725820000000	0E-15	0	0	0
"Albany"	"Wyoming"	"US"	"2020-03-30"	44.790489130000000	-104.353474300000000	1	0	0
"Lincoln"	"Missouri"	"US"	"2020-03-31"	40.479455880000000	0E-15	7	0	0
"Scotts Bluff"	"Nebraska"	"US"	"2020-03-25"	42.899727400000000	0E-15	0	0	0
"Sequoyah"	"Oklahoma"	"US"	"2020-04-03"	36.835326550000000	0E-15	4	1	0
"Archer"	"Texas"	"US"	"2020-03-22"	36.278291050000000	-93.744088130000000	0	0	0
"Lyon"	"Nevada"	"US"	"2020-04-01"	41.406921860000000	0E-15	1	0	0
"Crawford"	"Pennsylvania"	"US"	"2020-03-23"	41.992538290000000	-75.032081060000000	0	0	0
"Mecosta"	"Michigan"	"US"	"2020-03-23"	47.631976530000000	0E-15	0	0	0
"Watauga"	"North Carolina"	"US"	"2020-03-29"	36.493608620000000	0E-15	5	0	0
"Angelina"	"Texas"	"US"	"2020-03-22"	36.278291050000000	-93.744088130000000	0	0	0
"Tulare"	"California"	"US"	"2020-03-28"	41.742282750000000	0E-15	24	0	0
(null)	(null)	"Martinique"	"2020-03-20"	14.641500000000000	-61.024200000000000	64	2	0
(null)	(null)	"Russia"	"2020-03-23"	61.524010000000000	105.318756000000010	438	1	17
"Washington"	"Arkansas"	"US"	"2020-04-03"	36.381771050000000	0E-15	24	0	0
"Essex"	"New Jersey"	"US"	"2020-03-31"	41.138915920000000	0E-15	1900	4	0
"Lamar"	"Georgia"	"US"	"2020-03-31"	34.913691880000000	0E-15	3	0	0
