Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
New Zealand,2021-06-30 11:21:36,-40.9006,174.886,2743.0,26.0,2685,32,56.882361345874415,,,0.9478672985781991,554,NZL
Nicaragua,2021-06-30 11:21:36,12.865416,-85.207229,8178.0,191.0,4225,3762,123.44982016902571,,,2.335534360479335,558,NIC
Niger,2021-06-30 11:21:36,17.607789,8.081666,5488.0,193.0,5206,89,22.671469096325488,,,3.5167638483965016,562,NER
Nigeria,2021-06-30 11:21:36,9.082,8.6753,167543.0,2120.0,163985,1438,81.27647990291162,,,1.265346806491468,566,NGA
North Macedonia,2021-06-30 11:21:36,41.6086,21.7453,155682.0,5484.0,149977,221,7472.568614463036,,,3.5225652291209,807,MKD
Norway,2021-06-30 11:21:36,60.472,8.4689,131037.0,792.0,17998,112247,2417.1029443068583,,,0.6044094416080954,578,NOR
Oman,2021-06-30 11:21:36,21.512583,55.923255000000005,268545.0,3100.0,234861,30584,5258.760096204497,,,1.1543689139622781,512,OMN
Pakistan,2021-06-30 11:21:36,30.3753,69.3451,957371.0,22281.0,903484,31606,433.4107008902903,,,2.3273109379749335,586,PAK
Palau,2021-06-30 11:21:36,7.515,134.5825,0.0,0.0,,0,0.0,,,,585,PLW
Panama,2021-06-30 11:21:36,8.538,-80.7821,402581.0,6536.0,383656,12389,9330.304665279802,,,1.6235242100347507,591,PAN
Papua New Guinea,2021-06-30 11:21:36,-6.314993,143.95555,17098.0,173.0,16518,407,191.10258636751627,,,1.0118142472803837,598,PNG
Paraguay,2021-06-30 11:21:36,-23.4425,-58.4438,421589.0,12763.0,368004,40822,5910.791822817429,,,3.0273560268413076,600,PRY
Peru,2021-06-30 11:21:36,-9.19,-75.0152,2048115.0,191899.0,2007201,-150985,6211.708619529522,,,9.369542237618493,604,PER
Philippines,2021-06-30 11:21:36,12.879721,121.77401699999999,1412559.0,24662.0,1339248,48649,1289.053671990928,,,1.7459093744048921,608,PHL
Poland,2021-06-30 11:21:36,51.9194,19.1451,2879912.0,75021.0,2651787,153104,7609.432867228117,,,2.6049754298048,616,POL
Portugal,2021-06-30 11:21:36,39.3999,-8.2245,877195.0,17092.0,827969,32134,8602.728312189416,,,1.9484835184879075,620,PRT
Qatar,2021-06-30 11:21:36,25.3548,51.1839,221953.0,588.0,219658,1707,7703.865938231068,,,0.26492095173302455,634,QAT
Romania,2021-06-30 11:21:36,45.9432,24.9668,1080740.0,33605.0,1045351,1784,5617.828592862696,,,3.1094435294335363,642,ROU
Russia,2021-06-30 11:21:36,61.523999999999994,105.3188,5449594.0,132973.0,4942283,374338,3734.2749615135453,,,2.4400533324133873,643,RUS
Rwanda,2021-06-30 11:21:36,-1.9403,29.8739,38198.0,431.0,27272,10495,294.91494462450385,,,1.1283313262474475,646,RWA
Saint Kitts and Nevis,2021-06-30 11:21:36,17.357822,-62.782998,443.0,3.0,177,263,832.8320048127538,,,0.6772009029345373,659,KNA
Saint Lucia,2021-06-30 11:21:36,13.9094,-60.9789,5292.0,84.0,5116,92,2881.89773946381,,,1.5873015873015872,662,LCA
Saint Vincent and the Grenadines,2021-06-30 11:21:36,12.9843,-61.2872,2225.0,12.0,2002,211,2005.4620674736586,,,0.5393258426966292,670,VCT
Samoa,2021-06-30 11:21:36,-13.759,-172.1046,3.0,0.0,3,0,1.5295977158007443,,,0.0,882,WSM
San Marino,2021-06-30 11:21:36,43.9424,12.4578,5091.0,90.0,5000,1,15000.883964877128,,,1.7678255745433118,674,SMR
Sao Tome and Principe,2021-06-30 11:21:36,0.1864,6.6131,2366.0,37.0,2319,10,1079.5716391146234,,,1.5638207945900253,678,STP
Saudi Arabia,2021-06-30 11:21:36,23.885942,45.079162,486106.0,7804.0,466578,11724,1396.2999284164555,,,1.6054111654659684,682,SAU
Senegal,2021-06-30 11:21:36,14.4974,-14.4524,42957.0,1166.0,41354,437,256.5526731179598,,,2.7143422492259703,686,SEN
Serbia,2021-06-30 11:21:36,44.0165,21.0059,716458.0,7043.0,,709415,8199.927438119252,,,0.9830304079234233,688,SRB
Seychelles,2021-06-30 11:21:36,-4.6796,55.492,15579.0,68.0,14365,1146,15841.976815131178,,,0.43648501187495986,690,SYC
Sierra Leone,2021-06-30 11:21:36,8.460555000000001,-11.779889,5495.0,98.0,3490,1907,68.88567547763974,,,1.78343949044586,694,SLE
Singapore,2021-06-30 11:21:36,1.2833,103.8333,62907.0,36.0,62563,308,1075.2702875711732,,,0.057227335590633796,702,SGP
Slovakia,2021-06-30 11:21:36,48.669,19.699,391642.0,12510.0,255300,123832,7173.399432893323,,,3.1942437225833795,703,SVK
Slovenia,2021-06-30 11:21:36,46.1512,14.9955,257335.0,4419.0,252285,631,12378.230745401966,,,1.7172168574037734,705,SVN
Solomon Islands,2021-06-30 11:21:36,-9.6457,160.1562,20.0,0.0,20,0,3.0634533083764004,,,0.0,90,SLB
Somalia,2021-06-30 11:21:36,5.152149,46.199616,14933.0,775.0,7244,6914,93.95831014472273,,,5.189847987678297,706,SOM
South Africa,2021-06-30 11:21:36,-30.5595,22.9375,1954466.0,60264.0,1739976,154226,3295.4125272367337,,,3.083399762390341,710,ZAF
South Sudan,2021-06-30 11:21:36,6.877000000000001,31.307,10834.0,117.0,10514,203,96.78633456286104,,,1.0799335425512275,728,SSD
Spain,2021-06-30 11:21:36,40.463667,-3.7492199999999998,3799733.0,80829.0,150376,3568528,8126.939654494814,,,2.1272284131542927,724,ESP
Sri Lanka,2021-06-30 11:21:36,7.873054,80.77179699999999,257225.0,3030.0,223471,30724,1201.2422215217214,,,1.1779570415006317,144,LKA
Sudan,2021-06-30 11:21:36,12.8628,30.2176,36658.0,2754.0,30516,3388,83.60002535047961,,,7.512684816411152,729,SDN
Summer Olympics 2020,2021-06-29 23:21:50,35.6491,139.7737,1.0,0.0,,1,,,,0.0,2020,
Suriname,2021-06-30 11:21:36,3.9193,-56.0278,21519.0,516.0,17316,3687,3668.215616551376,,,2.397880942422975,740,SUR
Sweden,2021-06-30 11:21:36,60.1282,18.6435,1089743.0,14626.0,,1075117,10790.314547487096,,,1.3421513145760056,752,SWE
Switzerland,2021-06-30 11:21:36,46.8182,8.2275,702875.0,10888.0,317600,374387,8121.386755602616,,,1.549066334696781,756,CHE
Syria,2021-06-30 11:21:36,34.802075,38.996815000000005,25479.0,1873.0,21817,1789,145.58881989401883,,,7.3511519290396015,760,SYR
