Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Norte de Santander,Colombia,2021-04-15 06:30:33,7.9463,-72.8988,52991,2792,49349,850.0,,3552.4160867312153,,,5.268819233454738,17023,COL,,
Putumayo,Colombia,2021-04-15 06:30:33,0.436,-75.5277,8464,330,7935,199.0,,2430.912568714063,,,3.898865784499055,17024,COL,,
Quindio,Colombia,2021-04-15 06:30:33,4.461,-75.6674,36521,1105,34658,758.0,,6764.3506993835945,,,3.0256564716190684,17025,COL,,
Risaralda,Colombia,2021-04-15 06:30:33,5.3158,-75.9928,51995,1264,49099,1632.0,,5511.442112102913,,,2.4310029810558706,17026,COL,,
San Andres y Providencia,Colombia,2021-04-15 06:30:33,12.5567,-81.7185,2986,47,2837,102.0,,4872.715404699739,,,1.5740120562625586,17027,COL,,
Santander,Colombia,2021-04-15 06:30:33,6.6437,-73.6536,96961,3545,91002,2414.0,,4437.905436423861,,,3.6561091572900444,17028,COL,,
Sucre,Colombia,2021-04-15 06:30:33,8.814,-74.7233,24518,898,22952,668.0,,2709.581450451615,,,3.6626152214699403,17029,COL,,
Tolima,Colombia,2021-04-15 06:30:33,4.0925,-75.1545,67434,2175,64443,816.0,,5069.5127827891865,,,3.225375923124833,17030,COL,,
Unknown,Colombia,2021-04-15 06:30:33,,,0,0,,0.0,,,,,,17034,COL,,
Valle del Cauca,Colombia,2021-04-15 06:30:33,3.8009,-76.6413,220084,6780,207496,5808.0,,4917.10468050348,,,3.0806419367150726,17031,COL,,
Vaupes,Colombia,2021-04-15 06:30:33,0.8554,-70.812,1184,13,1159,12.0,,2902.174179473981,,,1.097972972972973,17032,COL,,
Vichada,Colombia,2021-04-15 06:30:33,4.4234,-69.2878,1509,23,1480,6.0,,1399.7105966162067,,,1.5241882041086812,17033,COL,,
Faroe Islands,Denmark,2021-04-15 06:30:33,61.8926,-6.9118,662,1,660,1.0,,1354.752890617006,,,0.1510574018126888,234,FRO,,
Greenland,Denmark,2021-04-15 06:30:33,71.7069,-42.6043,31,0,31,0.0,,54.604382442048895,,,0.0,304,GRL,,
French Guiana,France,2021-04-15 06:30:33,4.0,-53.0,17706,94,9995,7617.0,,5928.043872747605,,,0.5308934824353326,254,GUF,,
French Polynesia,France,2021-04-15 06:30:33,-17.6797,-149.4068,18680,141,4842,13697.0,,6649.958704753225,,,0.7548179871520343,258,PYF,,
Guadeloupe,France,2021-04-15 06:30:33,16.265,-61.551,12304,189,2242,9873.0,,3075.0236799816057,,,1.5360858257477243,312,GLP,,
Martinique,France,2021-04-15 06:30:33,14.6415,-61.0242,8887,59,98,8730.0,,2368.193143511918,,,0.6638910768538314,474,MTQ,,
Mayotte,France,2021-04-15 06:30:33,-12.8275,45.166244,19706,167,2964,16575.0,,7223.262821053249,,,0.847457627118644,175,MYT,,
New Caledonia,France,2021-04-15 06:30:33,-20.904304999999997,165.618042,121,0,58,63.0,,42.383122410163544,,,0.0,540,NCL,,
